nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
shokz,Estonia,https://www.hltv.org//stats/players/16859/shokz,"['Finest', 'Movistar Riders']",606,16120,320,1.03,1.01,10960,53.8,10640,3.6,0.68,0.12,0.66,0.08,0.09,70.6,1.04
hampus,Sweden,https://www.hltv.org//stats/players/9766/hampus,"['NIP', 'GamerLegion', 'Red Reserve', 'GODSENT']",1347,35837,232,1.01,1.01,25171,40.5,24939,4.2,0.7,0.15,0.7,0.08,0.08,67.8,1.15
Noobster,Australia,https://www.hltv.org//stats/players/9680/noobster,"['Ground Zero', 'Paradox', 'SYF']",496,12790,203,1.02,1.01,8741,34.5,8534,4.0,0.68,0.12,0.67,0.09,0.09,67.8,1.11
Viva,China,https://www.hltv.org//stats/players/15419/viva,"['Invictus', '5POWER', 'CyberZen']",597,15834,480,1.05,1.01,10605,46.0,10125,2.7,0.67,0.12,0.64,0.1,0.11,71.4,1.04
ap0c,Australia,https://www.hltv.org//stats/players/2007/ap0c,"['Looking For Org', 'AVANT', 'Tainted Minds', 'Chiefs']",914,23404,276,1.02,1.01,16396,50.8,16120,5.0,0.7,0.15,0.69,0.1,0.09,70.1,1.09
jedqr,Poland,https://www.hltv.org//stats/players/14684/jedqr,"['Wisla Krakow', 'x-kom']",810,21955,575,1.04,1.01,15083,53.5,14507,6.0,0.69,0.15,0.66,0.1,0.1,71.5,1.03
obj,Portugal,https://www.hltv.org//stats/players/9416/obj,"['OFFSET', 'eXploit', 'Giants', 'AlienTech']",418,10936,423,1.06,1.01,7278,31.6,6855,2.9,0.67,0.11,0.63,0.09,0.09,71.0,1.01
1962,Argentina,https://www.hltv.org//stats/players/12094/1962,"['Isurus', 'Leviatan']",572,14881,-12,1.0,1.01,10539,53.8,10551,3.8,0.71,0.14,0.71,0.11,0.1,69.6,1.14
spyleadeR,Bulgaria,https://www.hltv.org//stats/players/3183/spyleader,"['E-frag.net', 'MK', 'GPlay']",899,23232,93,1.01,1.01,16849,42.3,16756,4.7,0.73,0.18,0.72,0.1,0.08,69.1,1.17
SHOCK,Czech Republic,https://www.hltv.org//stats/players/12810/shock,['SINNERS'],671,18014,405,1.03,1.01,12110,55.5,11705,3.6,0.67,0.11,0.65,0.09,0.09,70.3,0.99
